transaction_id,date,description,amount
T001,2024-01-15,ZOMATO ORDER #789456,450
T002,2024-01-15,BUNDL TECHNOLOGIES UPI,320
T003,2024-01-16,NETFLIX SUBSCRIPTION JAN,649
T004,2024-01-16,UBER INDIA TRIP BANGALORE,280
T005,2024-01-17,BIGBASKET ORDER VEGETABLES FRUITS RICE,1200
T006,2024-01-18,AMAZON PAY PURCHASE - JBL EARPHONES COTTON T-SHIRT PROTEIN POWDER,4599
T007,2024-01-19,BESCOM ELECTRICITY BILL JAN,1100
T008,2024-01-20,IRCTC TKT PNR 4567890123,1850
T009,2024-01-21,APOLLO PHARMACY MEDICINE,340
T010,2024-01-22,HDFC CREDIT CARD BILL PAYMENT,5200
